13.445  120.730 ABRA DE ILOG (OCC. MINDORO)
14.723  120.533 ABUCAY (BATAAN)
18.450  121.450 ABULUG (CAGAYAN)
10.747  125.010 ABUYOG (LEYTE)
10.638  124.465 ADELA (PORO IS.)
16.117  119.797 AGNO (PANGASINAN)
16.325  120.365 AGOO (LA UNION)
15.888  120.233 AGUILAR (PANGASINAN)
11.152  120.938 AGUTAYA (CUYO ISLAND)
11.173  123.018 AJUY (ILOILO)
14.103  122.010 ALABAT (QUEZON)
14.065  121.243 ALAMINOS (LAGUNA)
16.158  119.978 ALAMINOS (PANGASINAN)
11.207  124.845 ALANGALANG (LEYTE)
10.915  124.693 ALBUERA (LEYTE)
 9.612  123.955 ALBURQUERQUE (BOHOL)
17.905  121.650 ALCALA (CAGAYAN)
15.847  120.520 ALCALA (PANGASINAN)
 9.970  123.403 ALCANTARA (CEBU)
 9.710  123.505 ALCOY (CEBU)
 9.730  123.338 ALEGRIA (CEBU)
14.140  120.855 ALFONSO (CAVITE)
15.500  120.838 ALIAGA (NUEVA ECIJA)
10.812  122.427 ALIMODIAN (ILOILO)
13.867  121.005 ALITAGTAG (BATANGAS)
12.503  124.283 ALLEN (NORTHERN SAMAR)
11.912  124.283 ALMAGPO (SAMAR)
10.223  123.548 ALOGUINSAN (CEBU)
14.140  120.855 ALORAN (CAMARINES NORTE)
 8.418  123.820 ALORAN (MISAMIS OCC.)
11.540  122.487 ALTAVAS (AKLAN)
10.812  122.427 AMADEO (ILOILO)
14.172  120.920 AMADEO (CAVITE)
17.838  121.723 AMULUNG (CAGAYAN)
10.275  125.258 ANAHAWAN (LEYTE)
15.725  120.618 ANAO (TARLAC)
 9.750  124.575 ANDA (BOHOL)
16.290  119.948 ANDA (PANGASINAN)
16.757  121.747 ANGADANAN (ISABELA)
14.930  121.028 ANGAT (BULACAN)
14.523  121.153 ANGONO (RIZAL)
 9.780  123.895 ANTEQUERA (BOHOL)
14.583  121.383 ANTIPOLO (RIZAL)
14.955  120.772 APALIT (PAMPANGA )
18.358  121.637 APARRI (CAGAYAN)
15.153  120.770 ARAYAT (PAMPANGA)
